order_item_id,topping_id,topping_quantity
1,4,regular
1,9,heavy
2,4,heavy
3,1,regular
3,4,heavy
4,4,regular
5,4,light
6,4,regular
7,4,heavy
8,1,regular
8,4,regular
9,4,heavy
10,4,light
11,4,light
11,9,light
12,4,regular
13,4,light
13,9,light
14,4,regular
15,4,regular
16,4,heavy
16,9,light
17,1,heavy
17,4,regular
18,4,regular
19,4,heavy
20,4,regular
21,4,regular
22,4,light
23,4,regular
24,1,heavy
24,4,regular
25,4,heavy
26,4,light
27,4,light
28,4,heavy
29,4,light
30,4,regular
31,4,light
32,4,regular
33,4,regular
34,4,regular
35,4,heavy
36,4,heavy
36,9,heavy
37,4,light
38,4,heavy
38,9,light
39,4,regular
40,4,regular
41,4,heavy
41,9,heavy
42,4,heavy
43,4,light
43,9,regular
44,4,light
45,4,heavy
46,4,heavy
46,9,light
47,4,regular
48,4,heavy
48,9,regular
49,4,light
49,9,light
50,4,regular
50,9,regular
51,4,regular
51,9,regular
52,4,heavy
53,1,regular
53,4,regular
54,4,regular
55,4,heavy
56,1,light
56,4,regular
57,4,regular
58,4,light
58,9,light
59,4,regular
60,4,regular
60,9,heavy
61,4,heavy
62,4,regular
63,4,heavy
64,4,regular
65,4,light
66,4,light
66,9,light
67,4,regular
68,4,regular
69,4,heavy
70,4,heavy
71,4,heavy
72,4,heavy
73,4,light
74,1,light
74,4,heavy
75,4,regular
76,4,light
77,1,light
77,4,heavy
78,4,light
79,4,heavy
80,4,light
81,4,regular
82,1,regular
82,4,regular
83,4,heavy
83,9,heavy
84,1,regular
84,4,heavy
85,4,light
86,4,light
86,9,regular
87,1,regular
87,4,heavy
88,1,regular
88,4,light
89,4,light
89,9,regular
90,4,regular
91,1,heavy
91,4,regular
92,4,regular
93,1,heavy
93,4,heavy
94,4,light
95,4,heavy
96,4,light
97,1,light
97,4,heavy
98,4,heavy
99,1,regular
99,4,regular
100,4,light
100,9,regular
101,4,light
102,4,regular
102,9,regular
103,4,heavy
103,9,heavy
104,4,light
105,4,regular
106,4,light
107,4,light
108,1,heavy
108,4,regular
109,4,regular
110,4,heavy
110,9,heavy
111,4,regular
111,9,light
112,4,light
113,4,heavy
114,4,light
115,1,regular
115,4,regular
116,4,light
117,1,light
117,4,regular
118,4,light
118,9,light
119,1,light
119,4,light
120,1,regular
120,4,heavy
121,4,light
122,4,regular
123,4,light
124,4,light
125,4,light
125,9,light
126,4,heavy
126,9,light
127,4,heavy
128,4,regular
128,9,light
129,4,light
130,4,regular
130,9,heavy
131,4,regular
132,1,light
132,4,regular
133,4,heavy
133,9,heavy
134,4,heavy
135,1,light
135,4,regular
136,4,regular
136,9,heavy
137,4,light
138,4,light
139,4,light
139,9,heavy
140,4,heavy
141,4,regular
142,1,light
142,4,light
143,1,regular
143,4,heavy
144,4,heavy
144,9,heavy
145,4,heavy
145,9,light
146,1,light
146,4,heavy
147,4,light
148,1,heavy
148,4,light
149,4,regular
149,9,heavy
150,1,light
150,4,regular
151,4,light
152,4,light
152,9,heavy
153,4,heavy
154,4,heavy
154,9,regular
155,4,light
156,4,light
156,9,light
157,4,regular
158,4,light
158,9,regular
159,4,light
160,4,light
161,4,heavy
162,4,light
163,4,regular
163,9,light
164,4,heavy
165,1,regular
165,4,heavy
166,4,heavy
167,1,heavy
167,4,light
168,4,heavy
168,9,light
169,4,regular
170,4,heavy
171,1,light
171,4,regular
172,4,regular
173,4,heavy
174,4,regular
175,4,heavy
176,1,heavy
176,4,heavy
177,4,heavy
177,9,regular
178,1,light
178,4,light
179,1,light
179,4,regular
180,4,light
180,9,heavy
181,4,regular
182,4,heavy
183,4,heavy
184,1,light
184,4,regular
185,4,regular
186,4,regular
187,1,heavy
187,4,heavy
188,4,light
188,9,heavy
189,4,regular
190,1,light
190,4,heavy
191,4,light
191,9,heavy
192,4,light
192,9,regular
193,4,light
193,9,light
194,4,heavy
195,4,heavy
196,4,light
197,1,light
197,4,light
198,4,regular
199,1,light
199,4,heavy
200,4,light
200,9,heavy
201,4,regular
202,4,light
203,4,light
204,4,regular
205,4,regular
206,4,regular
207,4,heavy
208,4,heavy
208,9,regular
209,4,regular
210,1,light
210,4,heavy
211,1,regular
211,4,heavy
212,4,heavy
213,1,light
213,4,heavy
214,4,light
215,4,heavy
216,4,heavy
216,9,regular
217,4,heavy
218,4,regular
219,4,heavy
220,4,regular
220,9,light
221,1,regular
221,4,heavy
222,4,heavy
223,4,heavy
223,9,heavy
224,4,heavy
225,4,heavy
226,4,regular
226,9,light
227,4,light
228,4,regular
229,1,light
229,4,heavy
230,1,light
230,4,heavy
231,4,regular
232,4,heavy
232,9,regular
233,4,light
234,4,regular
235,4,light
235,9,regular
236,1,regular
236,4,regular
237,4,regular
238,4,regular
239,1,light
239,4,light
240,4,regular
241,4,regular
242,4,regular
242,9,regular
243,4,regular
244,4,regular
245,4,heavy
246,4,regular
247,4,light
247,9,heavy
248,4,regular
249,4,regular
250,4,regular
251,4,heavy
252,1,regular
252,4,regular
253,4,regular
253,9,heavy
254,4,regular
254,9,heavy
255,4,heavy
256,4,regular
257,1,regular
257,4,heavy
258,4,heavy
258,9,regular
259,1,regular
259,4,heavy
260,4,regular
261,4,heavy
261,9,heavy
262,4,light
262,9,regular
263,4,heavy
264,4,light
265,4,heavy
266,4,heavy
267,4,regular
268,4,light
268,9,regular
269,4,light
269,9,regular
270,1,regular
270,4,light
271,4,heavy
272,4,heavy
272,9,regular
273,4,light
274,1,regular
274,4,light
275,4,light
276,4,regular
276,9,regular
277,4,light
277,9,light
278,4,light
279,4,light
280,1,heavy
280,4,light
281,4,heavy
282,4,regular
283,4,regular
283,9,heavy
284,4,regular
285,4,light
286,4,light
286,9,heavy
287,1,light
287,4,heavy
288,4,light
289,4,light
289,9,light
290,4,light
290,9,light
291,4,light
292,4,regular
292,9,heavy
293,4,light
293,9,regular
294,4,heavy
295,4,light
296,4,regular
297,4,regular
297,9,light
298,4,light
299,4,regular
300,4,regular
301,4,light
302,1,heavy
302,4,light
303,4,heavy
304,4,heavy
305,4,light
306,4,regular
307,4,light
308,4,heavy
308,9,regular
309,1,light
309,4,heavy
310,4,heavy
311,4,regular
312,1,heavy
312,4,light
313,4,heavy
314,4,heavy
315,1,regular
315,4,heavy
316,4,light
316,9,regular
317,4,regular
318,4,light
319,4,regular
320,4,light
320,9,regular
321,4,regular
322,4,heavy
323,4,heavy
324,4,light
324,9,heavy
325,4,light
326,4,heavy
327,4,heavy
328,4,regular
329,4,regular
330,4,heavy
331,4,regular
332,4,light
332,9,regular
333,4,heavy
334,4,regular
335,4,heavy
336,4,heavy
337,4,heavy
337,9,light
338,4,heavy
338,9,light
339,4,regular
340,4,heavy
341,4,regular
342,4,regular
343,4,regular
344,4,light
345,4,light
346,4,regular
347,4,heavy
348,4,regular
349,1,regular
349,4,regular
350,4,heavy
351,4,regular
352,4,light
352,9,regular
353,4,light
353,9,heavy
354,4,regular
355,4,heavy
356,4,regular
356,9,light
357,4,light
358,4,light
359,4,heavy
360,4,light
361,4,light
362,4,light
363,1,heavy
363,4,heavy
364,4,heavy
365,1,light
365,4,regular
366,4,heavy
366,9,light
367,4,regular
367,9,light
368,4,regular
369,4,light
370,4,regular
371,4,heavy
372,1,heavy
372,4,light
373,4,regular
374,4,heavy
375,4,light
376,4,heavy
376,9,heavy
377,4,heavy
378,4,regular
379,4,light
380,1,regular
380,4,light
381,4,regular
382,4,heavy
383,4,heavy
383,9,regular
384,1,heavy
384,4,heavy
385,4,regular
385,9,light
386,1,regular
386,4,regular
387,4,regular
387,9,heavy
388,4,regular
388,9,heavy
389,4,heavy
390,4,light
391,4,heavy
392,4,regular
393,4,light
394,4,regular
395,4,heavy
395,9,heavy
396,4,regular
397,4,regular
398,4,regular
399,4,light
400,4,heavy
401,4,regular
402,1,regular
402,4,regular
403,4,light
404,4,light
405,4,light
406,4,regular
407,4,heavy
408,4,regular
409,1,regular
409,4,regular
410,4,heavy
411,4,light
411,9,light
412,4,regular
413,4,light
414,4,light
415,1,light
415,4,light
416,1,light
416,4,regular
417,4,light
417,9,light
418,4,heavy
418,9,regular
419,4,light
420,4,regular
421,4,regular
422,4,light
423,4,heavy
424,4,heavy
425,4,light
426,4,regular
427,4,light
428,4,regular
429,4,heavy
430,1,regular
430,4,regular
431,4,light
432,4,regular
433,1,light
433,4,light
434,4,regular
435,1,light
435,4,regular
436,4,heavy
437,4,light
437,9,heavy
438,4,heavy
439,4,light
440,4,light
441,4,regular
442,1,light
442,4,light
443,4,heavy
443,9,heavy
444,4,regular
445,4,heavy
446,4,regular
447,4,heavy
448,1,heavy
448,4,light
449,4,light
449,9,light
450,4,light
450,9,regular
