order_item_id,order_id,item_id,quantity
1,1,16,2
2,1,10,1
3,1,11,2
4,2,2,3
5,2,13,2
6,3,20,2
7,3,6,1
8,3,13,3
9,4,17,3
10,4,9,3
11,5,16,1
12,5,12,3
13,6,10,3
14,6,16,2
15,7,10,1
16,7,5,2
17,8,4,3
18,9,14,3
19,9,15,2
20,9,12,1
21,10,11,3
22,10,13,2
23,10,2,3
24,11,10,1
25,11,14,3
26,11,4,2
27,12,2,3
28,12,6,3
29,12,14,2
30,13,8,1
31,13,15,3
32,14,19,3
33,14,8,2
34,15,10,1
35,16,19,3
36,16,18,2
37,17,8,3
38,18,15,3
39,18,12,2
40,19,2,2
41,19,18,3
42,20,16,3
43,21,7,1
44,21,10,3
45,21,4,2
46,22,16,3
47,22,9,1
48,23,15,2
49,23,16,3
50,23,8,3
51,24,3,1
52,24,19,3
53,25,5,2
54,25,7,2
55,26,2,1
56,26,1,1
57,26,13,2
58,27,4,1
59,28,8,3
60,29,8,3
61,30,2,1
62,31,10,2
63,31,8,2
64,32,6,1
65,32,7,2
66,33,20,2
67,33,5,1
68,34,17,3
69,34,7,1
70,34,10,3
71,35,1,1
72,35,20,1
73,35,16,2
74,36,7,1
75,36,6,3
76,37,19,1
77,38,18,3
78,39,2,2
79,39,17,3
80,39,18,1
81,40,12,3
82,41,3,1
83,42,9,1
84,43,7,2
85,43,17,3
86,43,14,2
87,44,10,1
88,45,16,3
89,45,15,2
90,46,7,1
91,46,14,1
92,46,5,1
93,47,10,2
94,47,11,2
95,47,9,1
96,48,18,3
97,49,12,2
98,49,1,3
99,50,20,3
100,51,4,3
101,51,16,1
102,51,18,1
103,52,8,1
104,52,12,3
105,52,15,2
106,53,2,1
107,53,1,1
108,54,7,3
109,55,4,1
110,55,18,1
111,55,5,3
112,56,1,3
113,56,20,2
114,56,3,3
115,57,11,2
116,57,15,1
117,57,12,3
118,58,2,3
119,58,5,1
120,58,3,1
121,59,6,1
122,59,20,1
123,59,3,2
124,60,7,2
125,60,10,3
126,60,14,3
127,61,11,3
128,62,15,2
129,62,20,1
130,62,14,1
131,63,1,2
132,64,12,3
133,65,8,2
134,65,11,2
135,66,5,3
136,66,14,2
137,67,1,1
138,67,17,1
139,67,11,2
140,68,16,2
141,69,9,3
142,70,5,2
143,70,3,1
144,71,5,1
145,71,2,3
146,72,19,1
147,72,20,2
148,72,9,2
149,73,10,2
150,73,18,3
151,73,13,1
152,74,17,3
153,75,1,3
154,75,4,2
155,75,18,1
156,76,17,1
157,76,12,2
158,77,17,2
159,77,4,1
160,78,14,2
161,78,19,3
162,78,2,2
163,79,6,1
164,79,7,2
165,80,11,3
166,80,3,2
167,81,3,3
168,81,20,1
169,82,20,3
170,82,4,2
171,82,8,3
172,83,8,3
173,83,2,2
174,84,2,3
175,84,12,1
176,85,19,2
177,86,15,3
178,87,17,2
179,87,8,3
180,88,8,1
181,89,12,1
182,89,18,1
183,89,19,2
184,90,6,2
185,91,8,3
186,91,2,2
187,91,6,1
188,92,10,1
189,92,14,3
190,92,7,3
191,93,5,3
192,93,6,2
193,93,16,1
194,94,10,2
195,94,17,1
196,95,6,3
197,95,15,1
198,96,20,1
199,96,14,3
200,97,17,2
201,97,5,3
202,98,6,3
203,98,7,3
204,99,20,1
205,99,7,3
206,100,4,1
207,100,5,2
208,101,1,2
209,101,10,2
210,102,18,1
211,102,3,2
212,102,2,2
213,103,20,1
214,104,12,3
215,104,18,2
216,104,15,2
217,105,20,2
218,106,3,1
219,106,8,2
220,106,13,2
221,107,8,1
222,107,2,2
223,108,5,2
224,108,6,1
225,108,12,3
226,109,20,3
227,109,11,1
228,110,13,1
229,110,18,1
230,110,14,3
231,111,16,3
232,111,2,2
233,111,6,1
234,112,11,3
235,112,19,2
236,112,14,2
237,113,18,3
238,113,3,2
239,113,4,1
240,114,10,2
241,114,16,2
242,115,11,1
243,116,8,2
244,117,9,3
245,117,20,1
246,117,13,1
247,118,10,3
248,118,9,2
249,118,6,1
250,119,6,3
251,119,13,1
252,120,7,1
253,121,3,1
254,122,6,1
255,123,6,3
256,123,18,2
257,124,14,1
258,124,5,1
259,124,10,3
260,125,10,3
261,125,11,1
262,126,19,2
263,127,12,1
264,127,19,1
265,127,15,1
266,128,3,2
267,128,1,2
268,128,18,1
269,129,13,2
270,129,9,2
271,130,19,1
272,130,15,1
273,131,8,2
274,132,20,1
275,132,8,1
276,133,4,2
277,134,20,1
278,135,7,2
279,136,11,1
280,137,12,2
281,137,1,3
282,137,5,3
283,138,14,3
284,138,19,1
285,139,17,3
286,139,16,1
287,140,4,1
288,140,20,2
289,140,5,2
290,141,15,1
291,142,13,1
292,142,9,2
293,143,4,1
294,143,20,1
295,144,20,1
296,144,1,1
297,145,19,1
298,145,1,3
299,146,15,1
300,146,10,1
301,146,20,2
302,147,5,3
303,147,10,2
304,147,8,3
305,148,16,3
306,149,2,1
307,149,16,2
308,150,14,2
309,150,9,3
310,150,7,1
311,151,8,2
312,151,18,3
313,152,14,3
314,152,13,3
315,152,15,1
316,153,16,3
317,153,6,1
318,153,19,3
319,154,9,1
320,155,5,2
321,156,10,1
322,156,4,2
323,157,8,3
324,157,10,1
325,157,14,2
326,158,7,3
327,158,1,1
328,158,8,3
329,159,8,3
330,159,19,3
331,159,18,2
332,160,2,2
333,160,1,3
334,160,18,2
335,161,20,3
336,161,19,1
337,161,18,3
338,162,18,1
339,163,12,3
340,163,8,2
341,164,15,1
342,164,18,3
343,165,1,1
344,165,11,3
345,166,11,3
346,167,1,2
347,167,7,1
348,167,20,3
349,168,13,2
350,168,12,2
351,169,12,2
352,169,1,3
353,169,10,3
354,170,3,1
355,170,5,2
356,171,4,2
357,171,20,3
358,171,13,3
359,172,2,3
360,172,16,3
361,173,2,2
362,173,15,1
363,173,7,1
364,174,12,1
365,175,14,2
366,175,20,2
367,176,12,3
368,176,5,3
369,176,8,2
370,177,11,1
371,178,19,1
372,178,18,2
373,179,12,3
374,179,6,3
375,179,1,2
376,180,9,2
377,181,4,2
378,182,2,2
379,183,5,1
380,184,10,1
381,184,1,2
382,184,14,1
383,185,2,1
384,186,13,1
385,187,19,2
386,188,20,3
387,188,6,1
388,189,4,3
389,189,11,1
390,189,14,1
391,190,2,2
392,191,9,1
393,191,13,1
394,191,6,3
395,192,5,2
396,192,17,1
